"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Ecuador";"Americas";"ECU";"ECU";"palegreen3";40320802,31;0,0182442366616567;0;0,000578972553578669
"El Salvador";"Americas";"SLV";"SLV";"palegreen3";6660009,527;0,00594999976777296;0;0,0005530681268131
"Equatorial Guinea";"Africa";"GNQ";"GNQ";"tomato";4471120,029;0,00108246534507097;0;0,000520224603289964
"Ethiopia";"Africa";"ETH";"ETH";"tomato";3207962,444;0,00274618587630805;0;0,000444575261709039
"Eritrea";"Africa";"ERI";"ERI";"tomato";573916,127;0,000340765703464442;0;0,000456256687190309
"Estonia";"Europe";"EST";"EST";"skyblue";20313297,022;0,00476639164816019;0;0,000552037359394383
"Falkland Isds (Malvinas)";"Americas";"FLK";"FLK";"palegreen3";378803,466;5,85636863190399e-05;0;0,00038743583037856
"Fiji";"Oceania";"FJI";"FJI";"orchid";1194908,76;0,000891843123097496;224;0,000437209400062206
"Finland";"Europe";"FIN";"FIN";"skyblue";80766700,611;0,0240255020322927;222;0,000579185236322617
"France";"Europe";"FRA";"FRA";"skyblue";636371457,741;0,219600636067921;2860;0,000586845665800529
"French Polynesia";"Oceania";"PYF";"PYF";"orchid";188943,274;0,000339716119575002;0;0,000221068761883497
"Fr. South Antarctic Terr.";"Antarctica";"ATF";"ATF";"lightgray";12991,931;5,10754691849923e-06;0;3,36419527579994e-05
"Djibouti";"Africa";"DJI";"DJI";"tomato";192703,509;0,00179077778581112;0;0,000253562038604268
"Gabon";"Africa";"GAB";"GAB";"tomato";8037633,267;0,00251551751819183;0;0,000563126722078048
"Georgia";"Asia";"GEO";"GEO";"gold";2951180,382;0,00205205826408429;0;0,000481591483936801
"Gambia";"Africa";"GMB";"GMB";"tomato";205544,176;0,000399373711935979;224;0,000219087113724136
"State of Palestine";"Asia";"PSE";"PSE";"gold";98205,723;0,000190040927041654;0;8,09738026317158e-05
"Germany";"Europe";"DEU";"DEU";"skyblue";1553266741,115;0,431472828782698;16105;0,000587735552137478
"Ghana";"Africa";"GHA";"GHA";"tomato";15919632,733;0,00867093194321955;0;0,000569165627407262
"Gibraltar";"Europe";"GIB";"GIB";"skyblue";153054,829;0,000952740943543044;0;0,000177367180973675
"Kiribati";"Oceania";"KIR";"KIR";"orchid";109372,466;4,77200433903773e-05;0;0,000201899019356248
"Greece";"Europe";"GRC";"GRC";"skyblue";53108830,634;0,0167037902799728;293;0,000571872441642174
"Greenland";"Americas";"GRL";"GRL";"palegreen3";1580145,813;0,000302714202970187;0;0,000493501296418521
"Grenada";"Americas";"GRD";"GRD";"palegreen3";26025,515;0,000122804275172282;0;5,92152242349152e-05
"Guam";"Oceania";"GUM";"GUM";"orchid";25519,313;0,000114547835896559;0;3,12212718392867e-05
"Guatemala";"Americas";"GTM";"GTM";"palegreen3";15544506,028;0,0137284233522816;0;0,000572707392789161
"Guinea";"Africa";"GIN";"GIN";"tomato";9643413,837;0,00606837128737433;0;0,000578303166115033
"Guyana";"Americas";"GUY";"GUY";"palegreen3";18542378,521;0,00598384318778038;0;0,000574136902700746
"Haiti";"Americas";"HTI";"HTI";"palegreen3";815075,911;0,00130520036909733;0;0,000487027695155817
"Honduras";"Americas";"HND";"HND";"palegreen3";10103659,203;0,0085149174204302;0;0,000571940149909685
"China, Hong Kong SAR";"Asia";"HKG";"HKG";"gold";156468833,463;0,221708381005236;224;0,000586268930243671
"Hungary";"Europe";"HUN";"HUN";"skyblue";159778119,617;0,0450885656544201;0;0,000585673108867358
"Iceland";"Europe";"ISL";"ISL";"skyblue";7906861,591;0,00288300147720449;0;0,000555198487236393
"Indonesia";"Asia";"IDN";"IDN";"gold";296408361,008;0,12455523858973;670;0,000587070998647695
"Iran";"Asia";"IRN";"IRN";"gold";12956293,649;0,00807673560096059;0;0,00057125638964601
"Iraq";"Asia";"IRQ";"IRQ";"gold";109122962,689;0,0404008410189728;0;0,00058623361585331
