"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"France";"Europe";"FRA";"FRA";"skyblue";742341019,871;0,219571460282763;1068;0,00688088641984457
"French Polynesia";"Oceania";"PYF";"PYF";"orchid";961677,617;0,000166426236491243;0;0,00281786101502059
"Djibouti";"Africa";"DJI";"DJI";"tomato";5997245,133;0,00163224816496635;0;0,0049839743703711
"Gabon";"Africa";"GAB";"GAB";"tomato";1469163,096;0,00234275745030131;0;0,00262510242505188
"Georgia";"Asia";"GEO";"GEO";"gold";11512507,586;0,00188388930570258;0;0,00479232498752295
"Gambia";"Africa";"GMB";"GMB";"tomato";873008,49;0,00022382134511497;0;0,00187266785621987
"State of Palestine";"Asia";"PSE";"PSE";"gold";1410414,597;0,000114652810661418;0;0,00274741661664649
"Germany";"Europe";"DEU";"DEU";"skyblue";1342608207,555;0,431421946270268;10808;0,00693823915485631
"Ghana";"Africa";"GHA";"GHA";"tomato";18652421,325;0,00851774328513804;0;0,00620682248296291
"Gibraltar";"Europe";"GIB";"GIB";"skyblue";9078554,499;0,0008560878062928;0;0,00480066207468433
"Greece";"Europe";"GRC";"GRC";"skyblue";88615373,445;0,0165676238419899;55;0,0061758680111015
"Greenland";"Americas";"GRL";"GRL";"palegreen3";835635,477;0,000212877053861535;0;0,00244169561502155
"Grenada";"Americas";"GRD";"GRD";"palegreen3";143642,27;7,94918530109985e-05;0;0,000745743097940444
"Guam";"Oceania";"GUM";"GUM";"orchid";473042,656;6,55311072364955e-05;0;0,00124376516233991
"Guatemala";"Americas";"GTM";"GTM";"palegreen3";30760958,133;0,0134670517765731;0;0,00621760667553046
"Guinea";"Africa";"GIN";"GIN";"tomato";6362900,97;0,00580290920995131;0;0,00533685641344454
"Guyana";"Americas";"GUY";"GUY";"palegreen3";3108428,569;0,00588632579411242;0;0,00353634665520211
"Haiti";"Americas";"HTI";"HTI";"palegreen3";2476353,264;0,00119968396575539;0;0,00341145670142039
"Honduras";"Americas";"HND";"HND";"palegreen3";15841092,716;0,00827000581433709;0;0,00584276282895083
"China, Hong Kong SAR";"Asia";"HKG";"HKG";"gold";670741366,749;0,221636828771241;192;0,00691833998923502
"Hungary";"Europe";"HUN";"HUN";"skyblue";148557242,457;0,04498274499484;0;0,00669883769021833
"Iceland";"Europe";"ISL";"ISL";"skyblue";7928581,455;0,00265320267653341;0;0,00323543706102418
"Indonesia";"Asia";"IDN";"IDN";"gold";228041659,551;0,124521407517021;171;0,00683476703402345
"Iran";"Asia";"IRN";"IRN";"gold";20988834,525;0,0078930105253827;0;0,00613899034838303
"Iraq";"Asia";"IRQ";"IRQ";"gold";49729099,265;0,0403158595531375;0;0,00647113111304944
"Ireland";"Europe";"IRL";"IRL";"skyblue";128198225,109;0,0980277456845052;0;0,00662106809522036
"Israel";"Asia";"ISR";"ISR";"gold";83732047,607;0,0352299390166816;0;0,0063639732479529
