"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Afghanistan";"Asia";"AFG";"AFG";"gold";4839555,97;0,000884350072400252;0;0,000417134941460505
"Albania";"Europe";"ALB";"ALB";"skyblue";6309888,138;0,00130745268148946;0;0,000421807612160474
"Algeria";"Africa";"DZA";"DZA";"tomato";29102939,951;0,0122717534340077;0;0,000437539005033584
"American Samoa";"Oceania";"ASM";"ASM";"orchid";190397,78;1,47726748871781e-05;0;0,0002368149323584
"Andorra";"Europe";"AND";"AND";"skyblue";1643105,676;0,000124598929868074;0;0,000417378756027892
"Angola";"Africa";"AGO";"AGO";"tomato";11692982,694;0,0129948076708492;0;0,000425836039546717
"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";702989,145;0,000361789991955577;0;0,000375179971240173
"Azerbaijan";"Asia";"AZE";"AZE";"gold";18699862,277;0,00517147655969178;0;0,000430573265869688
"Argentina";"Americas";"ARG";"ARG";"palegreen3";45832020,756;0,0217656083625445;0;0,000437531911278983
"Australia";"Oceania";"AUS";"AUS";"orchid";246570079,401;0,165419974180836;601;0,000440342407688285
"Austria";"Europe";"AUT";"AUT";"skyblue";178137581,886;0,0652887694254858;0;0,000440296294479039
"Bahamas";"Americas";"BHS";"BHS";"palegreen3";6419967,464;0,00376799394100282;0;0,000432542896470457
"Bahrain";"Asia";"BHR";"BHR";"gold";12776328,883;0,00392751912521951;0;0,00042506870379114
"Bangladesh";"Asia";"BGD";"BGD";"gold";48861061,087;0,0239861619558543;401;0,000439232353004932
"Armenia";"Asia";"ARM";"ARM";"gold";13924910,61;0,00303053119505691;201;0,000436417792284558
"Barbados";"Americas";"BRB";"BRB";"palegreen3";1772909,616;0,000641934076323601;201;0,000401139712582263
"Belgium";"Europe";"BEL";"BEL";"skyblue";385303222,378;0,112896138842029;201;0,000440222975333805
"Bermuda";"Americas";"BMU";"BMU";"palegreen3";3076807,783;0,000962939652820212;0;0,000422388532617748
"Bhutan";"Asia";"BTN";"BTN";"gold";1287710,043;0,000182346214701288;0;0,00040993177975115
"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";7798355,379;0,00315486699627028;0;0,000423836834816974
"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";12751949,232;0,00220698629019024;0;0,000420551280996547
"Botswana";"Africa";"BWA";"BWA";"tomato";5303061,65;0,000905808697713236;0;0,00043044680618674
"Brazil";"Americas";"BRA";"BRA";"palegreen3";217491739,346;0,150475111658774;801;0,00044031490538932
"Belize";"Americas";"BLZ";"BLZ";"palegreen3";1272261,54;0,000647346936010917;0;0,000391037134666429
"Solomon Isds";"Oceania";"SLB";"SLB";"orchid";382703,527;0,000321326563742904;0;0,0003089536953247
"Br. Virgin Isds";"Americas";"VGB";"VGB";"palegreen3";826237,014;0,000333798729298269;0;0,00032558397362955
"Brunei Darussalam";"Asia";"BRN";"BRN";"gold";6707547,619;0,00288296488599244;0;0,000425420116462662
"Bulgaria";"Europe";"BGR";"BGR";"skyblue";37809464,066;0,0100920842516098;0;0,000434001103387227
"Myanmar";"Asia";"MMR";"MMR";"gold";18290804,175;0,00858229777974057;0;0,000435938599960193
"Burundi";"Africa";"BDI";"BDI";"tomato";348029,056;6,39719313651467e-05;0;0,000223420229855926
"Belarus";"Europe";"BLR";"BLR";"skyblue";13177451,58;0,00464572401629128;0;0,000435004075778455
"Cambodia";"Asia";"KHM";"KHM";"gold";32447842,07;0,0186710864642264;0;0,000438022532091911
"Cameroon";"Africa";"CMR";"CMR";"tomato";5452080,199;0,00308213325502578;201;0,000430472999914742
"Canada";"Americas";"CAN";"CAN";"palegreen3";453444199,365;0,452596712503692;201;0,000440824762196303
"Cabo Verde";"Africa";"CPV";"CPV";"tomato";813235,186;9,26928150974611e-05;0;0,000363853482565724
"Cayman Isds";"Americas";"CYM";"CYM";"palegreen3";5728190,627;0,00143090057756097;0;0,000424822180795849
"Central African Rep.";"Africa";"CAF";"CAF";"tomato";573501,591;0,000146415220359432;0;0,000304172035436359
"Sri Lanka";"Asia";"LKA";"LKA";"gold";14922371,489;0,0058915734191062;0;0,000432106429068845
"Chad";"Africa";"TCD";"TCD";"tomato";845596,364;0,000988179185656248;0;0,000356162544578538
"Chile";"Americas";"CHL";"CHL";"palegreen3";70260409,544;0,0530455868669272;0;0,000438897201653632
"China";"Asia";"CHN";"CHN";"gold";2074707595,901;0,852188980579755;31147;0,000440856778102516
"Colombia";"Americas";"COL";"COL";"palegreen3";47844078,524;0,0307618161970661;0;0,000438683935476335
"Comoros";"Africa";"COM";"COM";"tomato";239191,917;5,80891301833616e-05;0;0,000232707862849961
"Congo";"Africa";"COG";"COG";"tomato";2657745,5;0,00324582470574499;0;0,000418375624708137
"Dem. Rep. of the Congo";"Africa";"COD";"COD";"tomato";8683207,351;0,0125730028731788;0;0,000431990894129702
"Cook Isds";"Oceania";"COK";"COK";"orchid";232712,098;2,26382029945734e-05;0;0,000230240962557992
"Costa Rica";"Americas";"CRI";"CRI";"palegreen3";18349601,632;0,0138438680176102;0;0,000436486034257013
"Croatia";"Europe";"HRV";"HRV";"skyblue";38590568,078;0,006391366250589;0;0,000434978708191125
"Cuba";"Americas";"CUB";"CUB";"palegreen3";2939298,001;0,000936710644703259;0;0,00039846816854115
"Cyprus";"Asia";"CYP";"CYP";"gold";12363059,19;0,00158270688137544;201;0,000425848823710839
"Czechia";"Europe";"CZE";"CZE";"skyblue";191761523,113;0,0692935841169933;0;0,000440062021602555
