"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Afghanistan";"Asia";"AFG";"AFG";"gold";1615214,623;0,00100991938096986;0;0,00140098224274447
"Albania";"Europe";"ALB";"ALB";"skyblue";3930716,042;0,00171322437892391;0;0,00184961754189017
"Algeria";"Africa";"DZA";"DZA";"tomato";48039608,084;0,0149807144856424;0;0,00233712314708296
"American Samoa";"Oceania";"ASM";"ASM";"orchid";32538,695;2,27907662461561e-05;0;2,89169948982823e-05
"Andorra";"Europe";"AND";"AND";"skyblue";109559,271;0,000175889000033384;0;0,000177628141793821
"Angola";"Africa";"AGO";"AGO";"tomato";42279393,759;0,0137839722793356;0;0,00238342384128623
"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";217115,449;0,000388644149954717;0;0,000343579610514628
"Azerbaijan";"Asia";"AZE";"AZE";"gold";27102277,039;0,00600860389176222;0;0,0023045585527309
"Argentina";"Americas";"ARG";"ARG";"palegreen3";79931917,799;0,0249050724162754;0;0,00235799849778281
"Australia";"Oceania";"AUS";"AUS";"orchid";357279432,725;0,170342939843885;800;0,00244547207235514
"Austria";"Europe";"AUT";"AUT";"skyblue";205121127,591;0,0713869191059808;0;0,00242591733519558
"Bahamas";"Americas";"BHS";"BHS";"palegreen3";2356864,106;0,00388118663080754;0;0,0016428941644773
"Bahrain";"Asia";"BHR";"BHR";"gold";18156269,914;0,00472678108320103;0;0,0020863625249814
"Bangladesh";"Asia";"BGD";"BGD";"gold";58762121,141;0,0269901083198481;201;0,00231878247865186
"Armenia";"Asia";"ARM";"ARM";"gold";13361658,303;0,00365536290903417;201;0,0022169591365304
"Barbados";"Americas";"BRB";"BRB";"palegreen3";387345,74;0,00068338494766873;0;0,000430381298336162
"Belgium";"Europe";"BEL";"BEL";"skyblue";380544033,404;0,124594666706845;201;0,00242557483130713
"Bermuda";"Americas";"BMU";"BMU";"palegreen3";247378,136;0,000983625304728578;0;0,000562885343193573
"Bhutan";"Asia";"BTN";"BTN";"gold";461085,158;0,000239795275046236;0;0,00114478035823585
"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";9048750,293;0,00343966837776986;0;0,00184955831528607
"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";9528847,754;0,00270284285919046;0;0,00180956679913278
"Botswana";"Africa";"BWA";"BWA";"tomato";4174071,578;0,00120091733916034;0;0,00172083770139263
