"";"name";"continent";"color";"strength";"eigenv";"between";"closen"
"Ecuador";"Ecuador";"Americas";"palegreen3";40320802,31;0,0182442436962353;0;0,00231581259777752
"El Salvador";"El Salvador";"Americas";"palegreen3";6660009,527;0,00595000165427403;0;0,00198239446605695
"Equatorial Guinea";"Equatorial Guinea";"Africa";"tomato";4471120,029;0,00108246594468853;0;0,00164935536863662
"Ethiopia";"Ethiopia";"Africa";"tomato";3207962,444;0,00274618733762399;0;0,00111045662182772
"Eritrea";"Eritrea";"Africa";"tomato";573916,127;0,00034076589827152;0;0,00117895213734542
"Estonia";"Estonia";"Europe";"skyblue";20313297,022;0,00476639411955172;0;0,00197100570807733
"Falkland Isds (Malvinas)";"Falkland Isds (Malvinas)";"Americas";"palegreen3";378803,466;5,85637162122584e-05;0;0,000834990116563823
"Fiji";"Fiji";"Oceania";"orchid";1194908,76;0,000891841275962734;201;0,0010660565055308
"Finland";"Finland";"Europe";"skyblue";80766700,611;0,024025513801235;199;0,00231906964689979
"France";"France";"Europe";"skyblue";636371457,741;0,219600727361733;1188;0,00243286162714013
"French Polynesia";"French Polynesia";"Oceania";"orchid";188943,274;0,000339716287269231;0;0,000339891258545805
"Djibouti";"Djibouti";"Africa";"tomato";192703,509;0,00179077883323829;0;0,000412921056021877
"Gabon";"Gabon";"Africa";"tomato";8037633,267;0,00251551894928352;0;0,00210402550809929
"Georgia";"Georgia";"Asia";"gold";2951180,382;0,00205205909356448;0;0,00134180726066381
"Gambia";"Gambia";"Africa";"tomato";205544,176;0,000399373664692053;0;0,000335713737755238
"State of Palestine";"State of Palestine";"Asia";"gold";98205,723;0,000190041041023885;0;0,000100318560827745
"Germany";"Germany";"Europe";"skyblue";1553266741,115;0,431473022741196;13476;0,00244689397207307
"Ghana";"Ghana";"Africa";"tomato";15919632,733;0,00867093663387148;0;0,00218097076445535
"Gibraltar";"Gibraltar";"Europe";"skyblue";153054,829;0,000952741404846903;0;0,000253627351624581
"Kiribati";"Kiribati";"Oceania";"orchid";109372,466;4,7720071237537e-05;0;0,00030066555469337
"Greece";"Greece";"Europe";"skyblue";53108830,634;0,0167037976690989;62;0,00221719856260412
"Greenland";"Greenland";"Americas";"palegreen3";1580145,813;0,000302714374351772;0;0,00142818151452244
"Guatemala";"Guatemala";"Americas";"palegreen3";15544506,028;0,0137284275581405;0;0,00222822323841677
"Guinea";"Guinea";"Africa";"tomato";9643413,837;0,00606837488619545;0;0,00230650369991051
"Guyana";"Guyana";"Americas";"palegreen3";18542378,521;0,00598384520907541;0;0,00224814029871314
"Haiti";"Haiti";"Americas";"palegreen3";815075,911;0,00130520073056839;0;0,00138028775055272
"Honduras";"Honduras";"Americas";"palegreen3";10103659,203;0,00851491929137626;0;0,00221786145773541
"China, Hong Kong SAR";"China, Hong Kong SAR";"Asia";"gold";156468833,463;0,22170850465914;201;0,00242430694457685
"Hungary";"Hungary";"Europe";"skyblue";159778119,617;0,0450885898316405;0;0,00241512389841627
"Iceland";"Iceland";"Europe";"skyblue";7906861,591;0,00288300277705985;0;0,00200764897507722
"Indonesia";"Indonesia";"Asia";"gold";296408361,008;0,124555298238229;401;0,00243668935817466
"Iran";"Iran";"Asia";"gold";12956293,649;0,00807674039830885;0;0,00220886401850304
"Iraq";"Iraq";"Asia";"gold";109122962,689;0,0404008631137577;0;0,00242380266235709
"Ireland";"Ireland";"Europe";"skyblue";244850102,141;0,0980993519639574;0;0,00243298966957
"Israel";"Israel";"Asia";"gold";64031345,816;0,0353058081931658;0;0,00239119220415707
"Italy";"Italy";"Europe";"skyblue";639718699,953;0,183441066896726;2181;0,00243408578476775
"C̫te d'Ivoire";"C̫te d'Ivoire";"Africa";"tomato";26046254,42;0,00599993290533376;200;0,00223580875539644
"Jamaica";"Jamaica";"Americas";"palegreen3";1058157,43;0,00239876736226955;0;0,00102123554448641
"Japan";"Japan";"Asia";"gold";730811014,8;0,355210712575479;402;0,00244555691645682
"Kazakhstan";"Kazakhstan";"Asia";"gold";87240676,464;0,0291828502015328;0;0,00237674958309204
"Jordan";"Jordan";"Asia";"gold";10364691,546;0,00710063069066595;0;0,00213537249320357
"Kenya";"Kenya";"Africa";"tomato";8699310,56;0,00582136571281295;0;0,00148989262534834
"Dem. People's Rep. of Korea";"Dem. People's Rep. of Korea";"Asia";"gold";396433,348;0,00102293305698797;0;0,00099401957347304
"Rep. of Korea";"Rep. of Korea";"Asia";"gold";720789276,405;0,332703000328688;201;0,00244629755624675
"Kuwait";"Kuwait";"Asia";"gold";66705091,704;0,0202256752063241;0;0,0023563994217997
"Kyrgyzstan";"Kyrgyzstan";"Asia";"gold";9711120,708;0,011299022673419;0;0,00208375976771472
