"";"name";"continent";"color";"strength";"iso3";"label";"eigenv";"between";"closen"
"United Arab Emirates";"United Arab Emirates";"Asia";"gold";308143386,084;"ARE";"ARE";0,112381900155053;1398;0,00044032260753195
"Tunisia";"Tunisia";"Africa";"tomato";26357289,165;"TUN";"TUN";0,00693965707098452;0;0,000429142714399565
"TÃ¼rkiye";"TÃ¼rkiye";"Asia";"gold";314272492,647;"TUR";"TUR";0,0816458371298024;1530;0,000440024660394515
"Turkmenistan";"Turkmenistan";"Asia";"gold";3892070,445;"TKM";"TKM";0,00542360836227885;0;0,000407026687530657
"Turks and Caicos Isds";"Turks and Caicos Isds";"Americas";"palegreen3";573508,704;"TUV";"TUV";0,000248139514154914;0;0,000387112204793503
"Uganda";"Uganda";"Africa";"tomato";13758185,971;"UGA";"UGA";0,00265450761507467;401;0,000427082259199196
"Ukraine";"Ukraine";"Europe";"skyblue";71607077,306;"UKR";"UKR";0,0168344902049407;0;0,000437781812459687
"North Macedonia";"North Macedonia";"Europe";"skyblue";12548294,256;"MKD";"MKD";0,0026267974954139;0;0,000412971406783711
"Egypt";"Egypt";"Africa";"tomato";99202455,435;"EGY";"EGY";0,0221934402020154;0;0,000438555136251678
"United Kingdom";"United Kingdom";"Europe";"skyblue";752952492,816;"GBR";"GBR";0,224334520093152;200;0,000440569732867804
"United Rep. of Tanzania";"United Rep. of Tanzania";"Africa";"tomato";20548454,829;"TZA";"TZA";0,00534692034645344;0;0,000434577776846219
"USA";"USA";"Americas";"palegreen3";3132248905,513;"USA";"USA";1;15951;0,000440966668917774
"Burkina Faso";"Burkina Faso";"Africa";"tomato";6277811,923;"BFA";"BFA";0,00156304002581356;0;0,000405280392971959
"Uruguay";"Uruguay";"Americas";"palegreen3";13165895,811;"URY";"URY";0,00512947360960503;0;0,000428066282023324
"Uzbekistan";"Uzbekistan";"Asia";"gold";37816282,337;"UZB";"UZB";0,0100882862510083;0;0,000437451251207534
"Venezuela";"Venezuela";"Americas";"palegreen3";13657059,898;"VEN";"VEN";0,00966452485394494;0;0,000432856172683988
"Samoa";"Samoa";"Oceania";"orchid";549286,818;"WSM";"WSM";0,000110513630997017;0;0,000252505154858574
"Yemen";"Yemen";"Asia";"gold";8796308,126;"YEM";"YEM";0,00178560684839335;0;0,000426446706165902
"Zambia";"Zambia";"Africa";"tomato";11919854,89;"ZMB";"ZMB";0,0038135305871968;0;0,000427113192835112
