Source;Target;Value
Romania;France;5740744
Romania;Germany;25460917
Romania;Greece;2138752
Romania;Hungary;9058845
Romania;India;768068
Romania;Ireland;682038
Romania;Italy;11296030
Romania;Japan;485116
Romania;Latvia;89830
Romania;Lithuania;304764
Romania;Luxembourg;152020
Romania;Malta;30569
Romania;Netherlands;5877615
Romania;Norway;471637
Romania;Poland;8667097
Romania;Portugal;603908
Romania;Korea;930890
Romania;Slovakia;2792407
Romania;Slovenia;1209679
Romania;Spain;4147760
Romania;Sweden;749635
Romania;Switzerland;1704961
Romania;UK;1323008
Slovakia;Austria;3036531
Slovakia;Belgium;897579
Slovakia;Bulgaria;488328
Slovakia;China;8115630
Slovakia;HongKong;70423
Slovakia;Macao;131
Slovakia;Taiwan;533596
Slovakia;Croatia;198269
Slovakia;Cyprus;9690
Slovakia;Czechia;10784517
Slovakia;Denmark;323380
Slovakia;Estonia;33690
Slovakia;Finland;220446
Slovakia;France;2955367
Slovakia;Germany;16280014
Slovakia;Greece;282619
Slovakia;Hungary;5752602
Slovakia;India;1136325
Slovakia;Ireland;424237
Slovakia;Italy;3522030
Slovakia;Japan;697895
Slovakia;Latvia;46146
Slovakia;Lithuania;188938
Slovakia;Luxembourg;102320
Slovakia;Malta;46840
Slovakia;Netherlands;1501984
Slovakia;Norway;239243
Slovakia;Poland;6885503
Slovakia;Portugal;543408
Slovakia;Korea;6132620
Slovakia;Romania;1969332
Slovakia;Slovakia;721968
Slovakia;Slovenia;511143
Slovakia;Spain;1972339
Slovakia;Sweden;644892
Slovakia;Switzerland;848662
Slovakia;UK;1747343
Slovenia;Austria;3433995
Slovenia;Belgium;733208
Slovenia;Bulgaria;206747
Slovenia;China;9160690
Slovenia;HongKong;25464
Slovenia;Macao;743
Slovenia;Taiwan;156899
Slovenia;Croatia;2181717
Slovenia;Cyprus;24853
Slovenia;Czechia;952218
Slovenia;Denmark;165400
Slovenia;Estonia;31882
Slovenia;Finland;120462
Slovenia;France;1400745
Slovenia;Germany;7102419
Slovenia;Greece;424618
Slovenia;Hungary;1112415
Slovenia;India;6594372
Slovenia;Ireland;318796
Slovenia;Italy;5825014
Slovenia;Japan;478792
Slovenia;Latvia;26201
Slovenia;Lithuania;90321
Slovenia;Luxembourg;39765
Slovenia;Malta;8703
Slovenia;Netherlands;981161
Slovenia;Norway;48812
Slovenia;Poland;1354133
Slovenia;Portugal;141885
Slovenia;Korea;443028
Slovenia;Romania;519831
Slovenia;Slovakia;536470
Slovenia;Slovenia;271732
Slovenia;Spain;1058395
Slovenia;Sweden;397237
Slovenia;Switzerland;17982777
Slovenia;UK;449973
Spain;Austria;3200558
Spain;Belgium;10451157
Spain;Bulgaria;884208
Spain;China;46595993
Spain;HongKong;445171
Spain;Macao;3331
Spain;Taiwan;1901436
Spain;Croatia;261681
Spain;Cyprus;32594
Spain;Czechia;5728639
Spain;Denmark;2522169
Spain;Estonia;192542
Spain;Finland;1366845
Spain;France;36919862
Spain;Germany;48697770
Spain;Greece;1234205
Spain;Hungary;3751065
Spain;India;6196068
Spain;Ireland;3771599
Spain;Italy;29653143
Spain;Japan;5182335
Spain;Latvia;216392
Spain;Lithuania;545091
Spain;Luxembourg;511083
Spain;Malta;225764
Spain;Netherlands;20163553
Spain;Norway;1503408
Spain;Poland;8630596
Spain;Portugal;16857355
Spain;Korea;3917126
Spain;Romania;2637847
Spain;Slovakia;2422033
Spain;Slovenia;807262
Spain;Sweden;4373042
Spain;Switzerland;4827890
Spain;UK;10647900
Sweden;Austria;2139570
Sweden;Belgium;8970868
Sweden;Bulgaria;344857
Sweden;China;11930682
Sweden;HongKong;119549
Sweden;Macao;1317
Sweden;Taiwan;810756
Sweden;Croatia;264684
Sweden;Cyprus;70602
Sweden;Czechia;3664979
Sweden;Denmark;12547431
Sweden;Estonia;1599308
Sweden;Finland;8890068
Sweden;France;6403882
Sweden;Germany;30538355
Sweden;Greece;231335
Sweden;Hungary;1735843
Sweden;India;1278594
Sweden;Ireland;1828308
Sweden;Italy;6191969
Sweden;Japan;1423536
Sweden;Latvia;1051586
Sweden;Lithuania;1573660
Sweden;Luxembourg;279597
Sweden;Malta;90814
Sweden;Netherlands;20522606
Sweden;Norway;17737397
Sweden;Poland;8649424
Sweden;Portugal;1175718
Sweden;Korea;1382685
Sweden;Romania;664500
Sweden;Slovakia;1633873
Sweden;Slovenia;385944
Sweden;Spain;3435412
Sweden;Switzerland;1385769
Sweden;UK;6159195
Switzerland;Austria;10718218
Switzerland;Belgium;4181041
Switzerland;Bulgaria;542482
Switzerland;China;20293011
Switzerland;HongKong;5902651
Switzerland;Macao;26452
Switzerland;Taiwan;1396946
Switzerland;Croatia;395192
Switzerland;Cyprus;14225
Switzerland;Czechia;3439317
Switzerland;Denmark;1973217
Switzerland;Estonia;186767
Switzerland;Finland;1856596
Switzerland;France;21468497
Switzerland;Germany;67848306
Switzerland;Greece;240123
Switzerland;Hungary;1752979
Switzerland;India;3017184
Switzerland;Ireland;3858864
Switzerland;Italy;30373586
Switzerland;Japan;8059307
Switzerland;Latvia;82339
Switzerland;Lithuania;288777
Switzerland;Luxembourg;304757
Switzerland;Malta;49147
Switzerland;Netherlands;7065908
Switzerland;Norway;597626
Switzerland;Poland;3847591
Switzerland;Portugal;1429944
Switzerland;Korea;2042682
Switzerland;Romania;1779982
Switzerland;Slovakia;1545806
Switzerland;Slovenia;20384125
Switzerland;Spain;8215499
Switzerland;Sweden;1793880
Switzerland;UK;8631649
UK;Austria;5609231
UK;Belgium;18417141
UK;Bulgaria;1040514
UK;China;99220564
UK;HongKong;3222993
UK;Macao;9531
UK;Taiwan;5617931
UK;Croatia;384002
UK;Cyprus;331706
UK;Czechia;10913576
UK;Denmark;5786288
UK;Estonia;567656
UK;Finland;3214441
UK;France;39107179
UK;Germany;76800802
UK;Greece;2094935
UK;Hungary;6575300
UK;India;15339653
UK;Ireland;20288041
UK;Italy;32091138
UK;Japan;13507238
UK;Latvia;1134867
UK;Lithuania;1693719
UK;Luxembourg;580398
UK;Malta;117324
UK;Netherlands;26384343
UK;Norway;29385449
UK;Poland;19950848
UK;Portugal;4625369
UK;Korea;7718456
UK;Romania;5365378
UK;Slovakia;6034525
UK;Slovenia;1194647
UK;Spain;26885700
UK;Sweden;9301849
UK;Switzerland;19367341
UK;UK;12511159
