"variant";"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"1. Full network";"Lesotho";"Africa";"LSO";"LSO";"tomato";1907040,217;0,000360591147113281;0;4,03726593636044e-05
"1. Full network";"Latvia";"Europe";"LVA";"LVA";"skyblue";22678101,689;0,00349436167370244;0;4,04844811942156e-05
"1. Full network";"Liberia";"Africa";"LBR";"LBR";"tomato";22920994,866;0,00813317959119805;0;4,06069385675427e-05
"1. Full network";"Libya";"Africa";"LBY";"LBY";"tomato";20888236,056;0,00744729137399145;447;4,0531741464937e-05
"1. Full network";"Lithuania";"Europe";"LTU";"LTU";"skyblue";43610135,381;0,00865033231798321;446;4,05670063448149e-05
"1. Full network";"Luxembourg";"Europe";"LUX";"LUX";"skyblue";26969993,501;0,00650078130489758;0;4,0576177051324e-05
"1. Full network";"China, Macao SAR";"Asia";"MAC";"MAC";"gold";11929964,629;0,00345357828941582;0;4,05456836618833e-05
"1. Full network";"Madagascar";"Africa";"MDG";"MDG";"tomato";5093098,096;0,00169125531766097;0;4,03611198722064e-05
"1. Full network";"Malawi";"Africa";"MWI";"MWI";"tomato";3239481,171;0,000521978603985459;0;3,99588909281113e-05
"1. Full network";"Malaysia";"Asia";"MYS";"MYS";"gold";303376783,561;0,169721820951703;670;4,0628529321272e-05
"1. Full network";"Maldives";"Asia";"MDV";"MDV";"gold";4314380,941;0,000756911552905221;0;4,02565094138968e-05
"1. Full network";"Mali";"Africa";"MLI";"MLI";"tomato";6025053,08;0,000757602876838549;0;4,03089213662089e-05
"1. Full network";"Malta";"Europe";"MLT";"MLT";"skyblue";15971610,502;0,00399646595172555;0;4,05242587996192e-05
"1. Full network";"Mauritania";"Africa";"MRT";"MRT";"tomato";5412664,975;0,00190097496651469;0;4,02857961757189e-05
"1. Full network";"Mauritius";"Africa";"MUS";"MUS";"tomato";6988272,59;0,00141018696348586;0;4,03566098486333e-05
"1. Full network";"Mexico";"Americas";"MEX";"MEX";"palegreen3";563525204,208;0,528926877108088;0;4,06332575595979e-05
"1. Full network";"Other Asia, nes";"Asia";NA;"Oth";"gold";349324235,689;0,229979268120298;224;4,06284816699823e-05
"1. Full network";"Mongolia";"Asia";"MNG";"MNG";"gold";8372302,948;0,00940769613265883;0;4,05516354316683e-05
"1. Full network";"Rep. of Moldova";"Europe";"MDA";"MDA";"skyblue";9630062,524;0,00148745119715843;0;4,04081093652137e-05
"1. Full network";"Montenegro";"Europe";"MNE";"MNE";"skyblue";5410437,893;0,000630504572615518;0;4,02866714832056e-05
"1. Full network";"Montserrat";"Americas";"MSR";"MSR";"palegreen3";17871,8;9,97581848275534e-06;0;2,01322314492517e-05
"1. Full network";"Morocco";"Africa";"MAR";"MAR";"tomato";87599365,317;0,0220102228379298;0;4,06017888430869e-05
"1. Full network";"Mozambique";"Africa";"MOZ";"MOZ";"tomato";16079170,982;0,00398404792319291;0;4,05599806721594e-05
"1. Full network";"Oman";"Asia";"OMN";"OMN";"gold";24585560,193;0,0242357211680891;0;4,05689893148946e-05
"1. Full network";"Namibia";"Africa";"NAM";"NAM";"tomato";9267310,557;0,00232928263555207;0;4,05152217248696e-05
"1. Full network";"Nauru";"Oceania";"NRU";"NRU";"orchid";60559,864;3,11322099051208e-05;0;3,13165954616931e-05
"1. Full network";"Nepal";"Asia";"NPL";"NPL";"gold";10294038,712;0,00217288476363892;0;4,05796943372328e-05
"1. Full network";"Netherlands";"Europe";"NLD";"NLD";"skyblue";689971408,15;0,212154057983805;1178;4,0630860079298e-05
"1. Full network";"CuraÃ§ao";"Americas";"CUW";"CUW";"palegreen3";1615263,009;0,000560636600512896;0;4,01639436544748e-05
"1. Full network";"Aruba";"Americas";"ABW";"ABW";"palegreen3";1289048,211;0,000475614354397536;0;4,01140479445316e-05
"1. Full network";"Saint Maarten";"Americas";"SXM";"SXM";"palegreen3";912848,913;0,000418050881594047;0;4,06083314069136e-05
"1. Full network";"Bonaire";"Americas";"BES";"BES";"palegreen3";726051,68;0,000105424999153294;0;3,96142312450277e-05
"1. Full network";"New Caledonia";"Oceania";"NCL";"NCL";"orchid";1709147,658;0,000677684540097976;0;4,0108557923951e-05
"1. Full network";"Vanuatu";"Oceania";"VUT";"VUT";"orchid";528528,631;0,000160849108927615;0;3,8697783551422e-05
"1. Full network";"New Zealand";"Oceania";"NZL";"NZL";"orchid";46838437,887;0,0223907598165574;448;4,05960962791687e-05
"1. Full network";"Nicaragua";"Americas";"NIC";"NIC";"palegreen3";11394370,968;0,00561792045934538;0;4,05058275198249e-05
"1. Full network";"Niger";"Africa";"NER";"NER";"tomato";1678540,614;0,00064014387584032;0;3,95491228177648e-05
"1. Full network";"Nigeria";"Africa";"NGA";"NGA";"tomato";50981849,703;0,0224179710276507;0;4,06106435915224e-05
"1. Full network";"Niue";"Oceania";"NIU";"NIU";"orchid";36376,78;5,20532144546622e-06;0;2,78451601196098e-05
"1. Full network";"Norfolk Isds";"Oceania";"NFK";"NFK";"orchid";36949,369;2,57744915540219e-06;0;2,44337750021509e-05
"1. Full network";"Norway";"Europe";"NOR";"NOR";"skyblue";100831074,418;0,0400117676038376;1;4,0601897542591e-05
"1. Full network";"N. Mariana Isds";"Oceania";"MNP";"MNP";"orchid";135366,188;1,40183902809185e-05;0;3,72698177233151e-05
"1. Full network";"FS Micronesia";"Oceania";"FSM";"FSM";"orchid";158960,43;0,000111650671569836;0;3,32920540440686e-05
"1. Full network";"Marshall Isds";"Oceania";"MHL";"MHL";"orchid";12773468,287;0,00367036802254216;0;4,05709876381646e-05
"1. Full network";"Palau";"Oceania";"PLW";"PLW";"orchid";172450,618;4,48738932541067e-05;0;3,35026141777748e-05
"1. Full network";"Pakistan";"Asia";"PAK";"PAK";"gold";64689464,399;0,0195587854734111;448;4,06145914299422e-05
"1. Full network";"Panama";"Americas";"PAN";"PAN";"palegreen3";44565783,142;0,011828505148214;0;4,05961444567392e-05
"1. Full network";"Papua New Guinea";"Oceania";"PNG";"PNG";"orchid";5475513,398;0,00406832677080529;0;4,03974969014671e-05
"1. Full network";"Paraguay";"Americas";"PRY";"PRY";"palegreen3";17493380,729;0,00514392956908124;0;4,05676673579409e-05
"1. Full network";"Peru";"Americas";"PER";"PER";"palegreen3";54482647,595;0,0371564512111981;0;4,06101734351804e-05
"1. Full network";"Philippines";"Asia";"PHL";"PHL";"gold";141852070,317;0,059306976251736;0;4,06241429284242e-05
"1. Full network";"Pitcairn";"Oceania";"PCN";"PCN";"orchid";4192,576;8,95324588957885e-07;0;6,82743632218689e-06
"1. Full network";"Poland";"Europe";"POL";"POL";"skyblue";402046988,37;0,119599017431889;1332;4,06292234948389e-05
"1. Full network";"Portugal";"Europe";"PRT";"PRT";"skyblue";115001165,293;0,0260769167870767;672;4,06176650075746e-05
"1. Full network";"Guinea-Bissau";"Africa";"GNB";"GNB";"tomato";529447,057;8,57846476578659e-05;0;3,7905100466686e-05
"1. Full network";"Timor-Leste";"Asia";"TLS";"TLS";"gold";1026357,874;0,000206190268526763;0;3,97143165818461e-05
"1. Full network";"Qatar";"Asia";"QAT";"QAT";"gold";37559793,691;0,0260024266212583;0;4,05631816596101e-05
"1. Full network";"Romania";"Europe";"ROU";"ROU";"skyblue";139110089,326;0,0300856059988272;671;4,06188634814626e-05
"1. Full network";"Russian Federation";"Europe";"RUS";"RUS";"skyblue";201060270,974;0,142124598558764;223;4,06302223721172e-05
"1. Full network";"Rwanda";"Africa";"RWA";"RWA";"tomato";2096648,514;0,000468120300746137;0;3,9925952287105e-05
"1. Full network";"Saint BarthÃ©lemy";"Americas";"BLM";"BLM";"palegreen3";236219,87;2,84985379196185e-05;0;3,90224911138125e-05
"1. Full network";"Saint Helena";"Africa";"SHN";"SHN";"tomato";53128,305;1,57212157546203e-05;0;2,86067102461077e-05
"1. Full network";"Saint Kitts and Nevis";"Americas";"KNA";"KNA";"palegreen3";291289,971;0,000112482032696604;0;3,82605674040737e-05
"1. Full network";"Anguilla";"Americas";"AIA";"AIA";"palegreen3";209070,365;4,13900168921129e-05;0;3,79679240736294e-05
"1. Full network";"Saint Lucia";"Americas";"LCA";"LCA";"palegreen3";1238498,987;0,000555974831500108;0;4,05234438987978e-05
"1. Full network";"Saint Pierre and Miquelon";"Americas";"SPM";"SPM";"palegreen3";72862,453;1,38708743627701e-05;0;3,2768041138247e-05
"1. Full network";"Saint Vincent and the Grenadines";"Americas";"VCT";"VCT";"palegreen3";357525,625;0,000111129780218755;0;3,80184914460975e-05
"1. Full network";"San Marino";"Europe";"SMR";"SMR";"skyblue";395995,492;8,12405226530814e-05;0;3,75152981067755e-05
"1. Full network";"Sao Tome and Principe";"Africa";"STP";"STP";"tomato";145474,691;2,03091736412829e-05;0;3,57229885278333e-05
"1. Full network";"Saudi Arabia";"Asia";"SAU";"SAU";"gold";223054892,423;0,107519459055668;1785;4,062717562387e-05
"1. Full network";"Senegal";"Africa";"SEN";"SEN";"tomato";16211533,033;0,00369100740956771;0;4,05311763891058e-05
"1. Full network";"Serbia";"Europe";"SRB";"SRB";"skyblue";42506715,123;0,00902954928952902;224;4,05617209953457e-05
"1. Full network";"Seychelles";"Africa";"SYC";"SYC";"tomato";1618018,606;0,000229440135132348;0;3,99435741744664e-05
"1. Full network";"Sierra Leone";"Africa";"SLE";"SLE";"tomato";2062251,236;0,00106225371019008;0;4,01820165268641e-05
"1. Full network";"India";"Asia";"IND";"IND";"gold";690997847,522;0,20450742218856;3337;4,06311643739223e-05
"1. Full network";"Singapore";"Asia";"SGP";"SGP";"gold";426223729,526;0,148923358532107;1558;4,06273557615846e-05
"1. Full network";"Slovakia";"Europe";"SVK";"SVK";"skyblue";113369738,425;0,0313935816215816;0;4,06132690412218e-05
"1. Full network";"Viet Nam";"Asia";"VNM";"VNM";"gold";376817888,973;0,265335866586578;0;4,06311496940789e-05
"1. Full network";"Slovenia";"Europe";"SVN";"SVN";"skyblue";71546976,612;0,016232153468922;0;4,06077691173613e-05
"1. Full network";"Somalia";"Africa";"SOM";"SOM";"tomato";3200447,944;0,000681956582421502;0;4,02580805704386e-05
"1. Full network";"South Africa";"Africa";"ZAF";"ZAF";"tomato";101099451,203;0,049644006057066;2219;4,06166522635026e-05
"1. Full network";"Zimbabwe";"Africa";"ZWE";"ZWE";"tomato";9725390,459;0,00231534453895942;0;4,05224408244563e-05
"1. Full network";"Spain";"Europe";"ESP";"ESP";"skyblue";458690716,973;0,124860010653187;2472;4,06275667156236e-05
"1. Full network";"South Sudan";"Africa";"SSD";"SSD";"tomato";1126170,633;0,00028692976874879;0;3,97655547225152e-05
"1. Full network";"Sudan";"Africa";"SDN";"SDN";"tomato";3694511,477;0,00104408700868181;0;4,01947822023162e-05
"1. Full network";"Suriname";"Americas";"SUR";"SUR";"palegreen3";1476521,212;0,000662631029519154;0;3,96357883698757e-05
"1. Full network";"Eswatini";"Africa";"SWZ";"SWZ";"tomato";1959142,733;0,000184479500896515;0;4,03992116435436e-05
"1. Full network";"Sweden";"Europe";"SWE";"SWE";"skyblue";180750190,035;0,0536258395999402;2;4,06205443378737e-05
"1. Full network";"Switzerland";"Europe";"CHE";"CHE";"skyblue";384804950,918;0,146838751702107;2006;4,06282325184145e-05
"1. Full network";"Syria";"Asia";"SYR";"SYR";"gold";3768353,083;0,000411068292965372;0;4,04597098509874e-05
"1. Full network";"Tajikistan";"Asia";"TJK";"TJK";"gold";6290336,316;0,00207463476424195;0;4,05327474850116e-05
"1. Full network";"Thailand";"Asia";"THA";"THA";"gold";291604616,203;0,149648308714808;1562;4,06294173060677e-05
"1. Full network";"Togo";"Africa";"TGO";"TGO";"tomato";11173900,244;0,0026528094053552;0;4,05228074792254e-05
"1. Full network";"Tokelau";"Oceania";"TKL";"TKL";"orchid";37195,089;5,38431927456712e-06;0;3,14181635081239e-05
"1. Full network";"Tonga";"Oceania";"TON";"TON";"orchid";300854,614;5,45958365731349e-05;0;3,61531028598717e-05
"1. Full network";"Trinidad and Tobago";"Americas";"TTO";"TTO";"palegreen3";6096513,329;0,00475606815302571;0;4,04972335780056e-05
"1. Full network";"United Arab Emirates";"Asia";"ARE";"ARE";"gold";308143386,084;0,112381899799201;1559;4,06283417914669e-05
"1. Full network";"Tunisia";"Africa";"TUN";"TUN";"tomato";26357289,165;0,00693965705480299;0;4,05199458251827e-05
"1. Full network";"TÃ¼rkiye";"Asia";"TUR";"TUR";"gold";314272492,647;0,0816458373368874;1708;4,06255275218761e-05
"1. Full network";"Turkmenistan";"Asia";"TKM";"TKM";"gold";3892070,445;0,00542360835331876;0;4,02896035128296e-05
"1. Full network";"Turks and Caicos Isds";"Americas";"TCA";"TCA";"palegreen3";573508,704;0,000248139512058762;0;4,00283190101442e-05
"1. Full network";"Tuvalu";"Oceania";"TUV";"TUV";"orchid";75587,107;1,88123814284799e-05;0;3,01033952530606e-05
"1. Full network";"Uganda";"Africa";"UGA";"UGA";"tomato";13758185,971;0,00265450760451359;447;4,04989782636044e-05
"1. Full network";"Ukraine";"Europe";"UKR";"UKR";"skyblue";71607077,306;0,0168344902476727;0;4,06041332621491e-05
"1. Full network";"North Macedonia";"Europe";"MKD";"MKD";"skyblue";12548294,256;0,00262679749075686;0;4,03536455575523e-05
"1. Full network";"Egypt";"Africa";"EGY";"EGY";"tomato";99202455,435;0,0221934405810788;0;4,06115544762718e-05
"1. Full network";"United Kingdom";"Europe";"GBR";"GBR";"skyblue";752952492,816;0,224334523902975;896;4,06307553101789e-05
"1. Full network";"United Rep. of Tanzania";"Africa";"TZA";"TZA";"tomato";20548454,829;0,00534692032550308;0;4,0573199508858e-05
"1. Full network";"USA";"Americas";"USA";"USA";"palegreen3";3132248905,513;1;20834;4,06345642620284e-05
"1. Full network";"Burkina Faso";"Africa";"BFA";"BFA";"tomato";6277811,923;0,00156304001568213;0;4,02705180216927e-05
"1. Full network";"Uruguay";"Americas";"URY";"URY";"palegreen3";13165895,811;0,00512947358870579;0;4,05091319809445e-05
"1. Full network";"Uzbekistan";"Asia";"UZB";"UZB";"gold";37816282,337;0,0100882862163795;0;4,06009873621066e-05
